"Nom série","Note /5","Editeur","Genre","Scénariste","Dessinateur"
300,"3.73 (11 avis)","Rackham","Historique","Miller (Frank)","Miller (Frank)"
303,"2.8 (5 avis)","Bamboo","Aventure","Ennis (Garth)","Burrows (Jacen)"
1602,"3 (3 avis)","Panini Comics/Marvel","Fantastique","Gaiman (Neil)","Kubert (Andy)"
"100 bullets","3.63 (8 avis)","Semic/Panini Comics","Policier/Thriller","Azzarello (Brian)","Risso (Eduardo)"
"2 soeurs","4 (1 avis)","Rackham","Roman Graphique","Kindt (Matt)","Kindt (Matt)"
"24 Heures chrono","1.67 (3 avis)","Casterman","Policier/Thriller","Haynes (Marc L.)/Vaughn (J.C.)","Guedes (Renato)"
"30 jours de nuit","3 (9 avis)","Delcourt","Fantastique","Niles (Steve)","Templesmith (Ben)"
"32 Histoires","4 (1 avis)","Seuil","Roman Graphique","Tomine (Adrian)","Tomine (Adrian)"
"A History of Violence","3.14 (7 avis)","Delcourt","Policier/Thriller","Wagner (John)","Locke (Vince)"
"A l'ombre des tours mortes","2 (5 avis)","Casterman","Roman Graphique","Spiegelman (Art)","Spiegelman (Art)"
"A poil, le nounours!","2 (2 avis)","Comics USA","Fantastique","Nocenti (Ann)","Bolton (John)"
"A Strange Day","3.33 (3 avis)","Cà et Là","Roman Graphique","Hurd (Damon)","Gill (Tatiana)"
"Abbie an' slats - P'tit Zef poids mouche","3 (1 avis)","Futuropolis","Humour","Capp (Al)","Van Buren (Raeburn)"
"ABC Warriors","1 (1 avis)","Zenda","Science-Fiction","Mills (Pat)","Walker (Kevin)"
"Adam","3 (4 avis)","Dupuis","Humour","Basset","Basset"
"Adieu Chunky Rice","3.5 (6 avis)","Casterman","Inclassable","Thompson (Craig)","Thompson (Craig)"
"Adieu, maman","3.2 (5 avis)","Actes Sud","Roman Graphique","Hornschemeier (Paul)","Hornschemeier (Paul)"
"Affaire Madame Paul (l')","2 (1 avis)","L'Association","Policier/Thriller","Doucet (Julie)","Doucet (Julie)"
"Âge d'or de Mickey (l')","4 (1 avis)","Hachette","Jeunesse","Osborne (Ted)/De Maris (Merrill)","Gottfredson (Floyd)"
"Age de Bronze (l')","3.75 (8 avis)","Akileos","Historique","Shanower (Eric)","Shanower (Eric)"
"Agent secret X-9","3.5 (2 avis)","Denoël Graphic","Policier/Thriller","Hammett (Dashiell)","Raymond (Alex)"
"Al's Baby","2.5 (2 avis)","Arboris","Humour","Wagner (Ron)","Ezquerra (Carlos)"
"Alec, la Bande du King Canute","2.5 (2 avis)","Cà et Là","Roman Graphique","Campbell (Eddie)","Campbell (Eddie)"
"Alex","2.6 (5 avis)","Paquet","Roman Graphique","Kalesniko (Mark)","Kalesniko (Mark)"
"Alias","3.25 (4 avis)","Panini Comics/Marvel","Policier/Thriller","Bendis (Brian Michael)","Gaydos (Michael)"
"Alice Cooper's The Last Temptation","3 (4 avis)","Bulle Dog","Fantastique","Gaiman (Neil)","Zulli (Michael)"
"Aliens - Alchemy","3 (1 avis)","TOTH","Science-Fiction","Arcudy (John)","Corben (Richard)"
"Aliens - Salvation","3 (1 avis)","Wetta Worldwide","Science-Fiction","Gibbons (Dave)","Mignola (Mike)"
"Aliens (Wetta Worldwide)","3 (1 avis)","Wetta Worldwide","Fantastique","Collectif","Collectif"
